temperature,humidity,rainfall,visibility,wind_speed,road_condition,traffic_density,current_speed,hour_of_day,recommended_speed,road_condition_code,traffic_density_code
37.9,57.0,0.0,8.53,18.0,dry,medium,47.6,15,73.7,0,1
13.4,49.3,0.0,7.82,4.5,dry,low,81.0,5,85.7,0,0
21.8,87.9,0.13,10.0,12.0,dry,low,56.3,7,91.6,0,0
29.7,88.9,2.42,6.51,22.5,wet,low,69.6,14,56.9,1,0
35.0,67.5,0.19,5.9,4.9,dry,high,55.7,17,55.1,0,2
3.6,65.2,0.18,1.13,18.0,dry,medium,63.3,17,47.6,0,1
1.0,29.4,1.77,9.11,23.5,wet,high,43.6,18,61.0,1,2
33.1,41.6,0.0,7.56,13.5,dry,high,75.0,23,62.4,0,2
22.6,94.9,0.06,10.0,15.1,dry,medium,81.6,3,88.5,0,1
37.5,71.0,0.61,10.0,10.4,ice,low,81.2,13,35.9,3,0
17.1,44.2,0.16,8.83,0.9,dry,medium,10.0,0,82.9,0,1
0.3,99.9,0.0,8.41,22.6,dry,high,65.6,16,65.9,0,2
4.9,92.9,0.16,7.2,13.8,dry,medium,71.6,21,67.1,0,1
37.5,24.6,4.0,2.15,17.0,snow,low,81.6,20,28.2,2,0
32.3,70.4,0.0,6.22,0.2,dry,medium,37.2,16,68.5,0,1
25.6,24.4,9.44,4.42,13.7,wet,high,73.6,11,39.7,1,2
17.9,82.7,0.0,8.99,18.6,dry,high,81.4,17,69.8,0,2
27.5,95.2,2.65,2.61,18.5,wet,medium,96.5,21,36.4,1,1
16.4,68.9,0.0,8.94,6.7,dry,low,23.2,11,83.2,0,0
15.9,57.9,0.33,5.11,18.5,dry,low,49.3,14,66.8,0,0
22.5,54.5,0.0,10.0,17.2,dry,medium,83.7,16,85.9,0,1
21.0,84.0,1.57,5.45,21.7,ice,medium,62.3,20,26.3,3,1
10.7,79.4,0.0,2.03,0.0,dry,low,82.3,20,50.5,0,0
13.2,96.7,14.93,4.3,9.4,wet,low,23.8,18,50.3,1,0
5.5,62.0,2.87,0.93,24.0,wet,low,87.6,16,35.1,1,0
2.1,55.9,1.96,10.0,16.3,snow,high,86.3,0,44.8,2,2
-2.8,38.6,0.19,6.38,26.5,dry,high,10.0,10,56.5,0,2
26.9,71.9,0.0,7.52,17.0,dry,high,69.1,17,67.0,0,2
33.4,88.2,2.52,2.08,7.5,snow,medium,34.4,8,22.9,2,1
0.2,51.9,0.1,8.15,7.3,dry,medium,69.8,0,78.2,0,1
10.4,67.9,0.04,8.79,6.0,ice,medium,58.8,8,31.1,3,1
33.1,92.3,10.95,0.2,12.1,wet,medium,69.3,11,41.8,1,1
27.7,97.6,0.0,8.75,33.2,dry,medium,22.0,20,74.4,0,1
44.3,57.2,14.68,4.55,9.2,wet,medium,42.4,15,46.6,1,1
-3.2,49.8,0.24,4.9,17.4,ice,high,26.5,2,24.0,3,2
35.0,23.9,1.17,10.0,10.6,snow,medium,60.4,10,51.2,2,1
39.8,73.7,0.0,0.76,31.1,dry,medium,106.0,0,40.6,0,1
8.7,90.9,3.22,4.74,20.2,wet,low,69.0,10,58.9,1,0
1.8,66.0,0.0,8.49,11.1,dry,medium,92.0,17,79.3,0,1
5.1,21.4,0.0,8.53,27.1,dry,low,21.2,10,84.2,0,0
39.8,38.8,0.0,9.45,9.8,dry,low,10.0,10,93.8,0,0
7.1,45.8,2.75,10.0,19.2,wet,low,51.7,6,79.2,1,0
28.7,85.2,0.0,6.69,10.2,dry,high,70.8,19,66.5,0,2
20.6,54.6,1.02,1.24,6.7,wet,high,10.0,7,28.7,1,2
10.6,24.1,0.0,7.83,25.5,dry,medium,35.5,0,71.9,0,1
15.8,20.1,0.21,4.89,14.9,dry,low,30.7,2,60.6,0,0
37.1,40.8,0.34,1.16,0.0,dry,medium,36.5,12,48.5,0,1
-2.6,56.9,0.13,8.17,20.5,dry,high,60.6,7,67.8,0,2
0.5,69.6,0.3,10.0,4.8,dry,low,17.8,3,95.2,0,0
3.1,81.8,4.28,3.03,12.0,snow,medium,96.0,13,34.5,2,1
10.9,83.9,0.13,10.0,21.4,dry,high,69.8,10,76.3,0,2
-4.0,33.2,0.0,10.0,32.3,dry,low,60.1,19,94.8,0,0
29.7,33.8,0.02,4.09,14.5,dry,low,53.4,7,65.1,0,0
39.9,90.4,8.27,0.2,13.5,wet,low,30.0,17,40.3,1,0
-4.1,67.7,3.85,6.08,15.4,wet,high,38.1,1,45.3,1,2
31.3,65.4,0.0,4.27,11.8,dry,medium,51.0,22,54.7,0,1
-0.3,91.2,0.0,8.73,17.7,dry,medium,32.2,12,78.5,0,1
40.6,37.0,0.0,2.41,15.3,dry,high,52.6,15,41.2,0,2
23.5,28.4,13.61,0.74,6.1,wet,medium,48.5,9,40.5,1,1
44.0,50.2,10.93,2.72,16.3,wet,low,118.6,15,42.8,1,0
41.8,57.4,0.27,8.09,17.8,dry,medium,55.3,7,78.0,0,1
42.7,39.5,1.93,7.82,15.8,wet,low,71.6,8,64.3,1,0
8.0,23.6,0.0,10.0,15.6,dry,medium,17.2,6,80.0,0,1
33.2,90.1,0.07,10.0,3.9,dry,low,33.1,8,95.9,0,0
-0.2,87.7,0.0,6.33,10.9,dry,medium,55.8,22,67.9,0,1
31.8,43.7,1.86,9.17,16.0,snow,medium,86.8,0,48.5,2,1
0.0,41.2,0.0,5.74,19.0,dry,high,66.1,18,54.7,0,2
38.7,47.1,8.2,7.09,0.0,wet,high,37.7,7,54.2,1,2
19.5,62.4,8.28,2.3,15.8,wet,medium,55.1,3,36.9,1,1
3.2,64.4,0.0,7.74,24.4,dry,high,59.2,9,67.7,0,2
15.0,62.6,3.21,0.2,18.8,wet,medium,10.0,2,30.2,1,1
12.1,24.0,0.41,6.55,37.4,dry,high,63.2,1,64.1,0,2
27.0,20.2,4.97,2.23,7.6,ice,medium,73.5,18,19.0,3,1
14.6,93.7,0.0,4.88,26.0,dry,medium,26.7,7,60.2,0,1
3.9,74.2,4.23,4.9,1.0,ice,low,61.6,15,28.0,3,0
42.4,49.3,11.21,2.67,18.5,wet,low,57.4,3,40.1,1,0
12.1,52.7,0.19,8.01,18.4,dry,medium,68.4,17,75.4,0,1
11.3,35.8,11.78,0.2,4.5,wet,low,56.0,21,38.5,1,0
28.7,92.8,0.12,9.85,0.0,dry,low,47.7,16,88.4,0,0
11.0,98.1,0.06,6.5,19.9,dry,medium,55.0,12,71.7,0,1
37.7,45.8,0.29,10.0,16.0,dry,high,39.8,9,72.5,0,2
37.2,98.3,3.72,2.39,16.1,snow,high,27.5,2,27.4,2,2
7.9,66.9,6.44,7.36,10.4,wet,low,77.6,11,64.9,1,0
34.9,87.1,0.0,7.41,3.9,dry,low,23.1,2,79.1,0,0
26.0,94.6,0.43,8.73,13.5,dry,medium,63.7,9,80.7,0,1
0.6,86.6,0.88,7.17,9.0,snow,medium,70.9,5,45.6,2,1
20.8,27.6,3.64,5.92,27.4,ice,high,77.6,12,26.3,3,2
12.7,83.0,0.0,5.62,28.0,dry,medium,84.7,9,62.1,0,1
2.2,90.3,0.34,6.92,18.5,dry,high,35.2,7,63.5,0,2
33.7,22.8,0.0,10.0,14.0,dry,medium,13.1,0,83.4,0,1
-0.4,51.6,0.39,8.19,15.4,dry,high,53.2,3,68.0,0,2
6.0,36.7,0.0,10.0,19.7,dry,low,75.4,8,95.6,0,0
1.9,72.3,0.21,8.33,15.0,dry,high,84.5,4,61.3,0,2
27.8,43.1,0.0,5.04,6.4,dry,low,91.0,9,66.0,0,0
19.3,40.8,0.0,7.75,0.0,dry,medium,39.8,19,78.1,0,1
10.7,65.1,0.0,9.9,14.9,dry,medium,48.7,0,86.7,0,1
18.5,58.1,0.0,10.0,34.3,dry,high,94.2,5,69.5,0,2
-0.0,36.6,6.63,4.26,14.0,wet,low,41.5,15,48.4,1,0
8.2,68.8,0.0,7.44,7.9,dry,low,10.0,20,77.3,0,0
1.1,88.2,0.0,10.0,19.1,dry,medium,37.0,3,86.9,0,1
23.8,84.5,0.0,4.63,3.2,dry,high,56.7,23,53.2,0,2
11.1,35.5,2.0,10.0,5.0,wet,low,44.4,13,81.8,1,0
41.6,51.3,5.27,5.9,30.2,wet,high,39.1,8,47.5,1,2
12.3,50.3,1.87,6.55,25.0,wet,low,70.9,23,60.1,1,0
36.3,94.2,9.16,4.78,30.4,wet,low,84.0,9,50.9,1,0
-4.8,23.1,3.4,4.09,12.8,ice,medium,11.6,8,17.9,3,1
34.3,46.5,0.0,10.0,23.2,dry,low,58.4,17,90.6,0,0
21.8,97.2,14.47,1.02,3.4,wet,medium,56.1,22,30.1,1,1
23.2,98.6,3.04,6.7,0.0,snow,medium,48.0,14,40.7,2,1
9.2,44.3,13.18,2.39,18.8,wet,high,78.8,12,28.7,1,2
25.9,23.2,7.2,3.88,0.0,wet,low,52.5,11,51.6,1,0
42.4,52.4,0.12,10.0,19.7,dry,low,109.2,13,91.8,0,0
-3.2,62.8,0.0,10.0,18.3,dry,medium,40.4,15,88.2,0,1
41.8,87.0,0.59,10.0,34.1,snow,low,47.5,22,54.1,2,0
17.3,25.0,14.55,5.59,11.2,wet,low,62.5,3,54.8,1,0
30.4,86.4,0.25,9.21,0.0,dry,high,62.3,15,75.7,0,2
43.6,76.4,0.0,7.05,13.4,dry,high,20.0,3,63.6,0,2
34.0,55.7,0.0,10.0,9.6,dry,low,17.6,7,99.7,0,0
41.8,98.2,0.35,7.03,13.0,dry,medium,45.2,3,70.6,0,1
21.9,70.1,3.43,1.74,37.3,wet,high,80.2,15,34.4,1,2
16.9,95.7,0.01,7.35,12.9,dry,low,62.8,20,84.4,0,0
16.7,38.3,10.97,5.24,12.3,wet,medium,37.6,18,46.9,1,1
16.8,99.6,0.0,10.0,8.4,dry,medium,62.2,4,82.8,0,1
-2.5,98.5,0.45,7.08,9.1,dry,medium,65.2,17,72.8,0,1
26.9,88.5,9.65,8.36,18.6,wet,medium,74.3,1,62.6,1,1
35.6,60.5,0.0,3.92,0.7,dry,medium,57.2,14,58.5,0,1
39.7,41.8,2.11,0.2,11.1,wet,medium,89.1,17,37.2,1,1
33.0,76.7,0.0,10.0,1.3,dry,high,58.6,19,75.1,0,2
30.3,25.6,0.0,8.97,3.5,dry,medium,69.2,3,79.5,0,1
13.0,34.1,2.34,4.5,0.0,snow,low,95.0,21,39.7,2,0
10.1,49.5,0.0,8.63,7.9,dry,medium,81.2,18,79.9,0,1
25.7,91.2,4.54,1.73,25.8,snow,high,51.6,18,16.2,2,2
23.4,64.2,0.0,10.0,5.4,dry,medium,70.0,1,82.3,0,1
39.5,45.1,2.01,2.69,28.6,ice,high,19.4,15,14.1,3,2
4.8,24.6,0.0,6.9,1.2,dry,low,42.4,22,77.1,0,0
8.2,93.1,0.04,5.55,3.5,dry,high,42.3,10,53.6,0,2
16.6,40.2,0.0,9.02,14.9,dry,medium,25.9,5,77.9,0,1
44.7,23.1,0.36,7.54,20.5,dry,medium,52.6,18,69.1,0,1
4.8,52.8,0.0,3.77,13.3,dry,low,40.4,2,58.6,0,0
41.2,39.7,0.0,7.84,26.3,dry,medium,26.6,9,73.6,0,1
34.8,92.6,0.0,8.86,12.5,dry,low,54.1,11,88.4,0,0
6.2,87.7,2.0,5.72,20.8,ice,medium,70.2,18,31.4,3,1
37.4,38.2,0.25,10.0,2.8,snow,high,38.4,15,47.5,2,2
41.9,78.3,0.29,8.02,13.0,dry,medium,65.1,23,70.1,0,1
20.1,60.4,0.35,7.46,8.1,dry,low,44.9,17,85.4,0,0
21.2,35.1,12.03,0.2,22.5,wet,medium,102.7,19,31.9,1,1
44.3,27.5,6.48,3.01,17.8,wet,medium,41.0,22,38.6,1,1
10.1,81.6,1.68,10.0,18.6,ice,high,49.4,22,27.8,3,2
19.8,24.4,5.55,1.39,17.5,wet,medium,52.2,19,38.1,1,1
7.9,89.3,0.0,4.25,19.1,dry,medium,102.5,9,50.4,0,1
30.5,70.8,0.0,8.71,34.0,dry,high,45.9,18,69.1,0,2
35.6,48.0,0.19,7.66,4.9,dry,high,43.3,4,65.4,0,2
-0.5,29.6,0.0,10.0,26.3,dry,low,57.0,21,88.6,0,0
26.5,90.6,9.76,2.36,0.6,wet,medium,73.3,9,32.4,1,1
8.0,32.3,0.44,9.52,1.9,dry,medium,68.4,10,83.5,0,1
10.4,37.3,0.0,6.14,8.4,dry,medium,77.0,23,70.0,0,1
26.2,30.8,10.56,0.67,8.7,wet,medium,33.9,13,32.9,1,1
6.1,55.3,0.84,6.65,15.7,dry,low,89.1,23,79.3,0,0
21.4,68.2,3.69,5.43,16.0,ice,medium,10.0,11,24.4,3,1
43.1,56.0,0.09,10.0,0.0,dry,medium,60.5,14,87.3,0,1
23.5,32.3,14.15,1.67,14.6,wet,low,63.8,0,37.8,1,0
6.5,92.5,0.0,8.12,24.6,dry,medium,15.5,8,77.0,0,1
24.1,99.5,0.28,9.45,12.4,dry,low,12.8,23,93.4,0,0
36.6,44.3,0.26,10.0,6.2,dry,medium,69.9,22,87.5,0,1
23.0,60.4,0.07,7.22,29.8,dry,medium,37.0,21,69.4,0,1
37.5,55.7,0.0,8.1,3.8,dry,low,68.2,4,83.6,0,0
-1.8,24.4,8.94,2.49,25.4,wet,low,62.9,0,33.8,1,0
-1.4,84.2,0.09,8.47,12.9,dry,medium,47.6,14,80.1,0,1
31.2,68.0,0.0,2.51,22.3,dry,medium,91.2,21,46.8,0,1
12.6,76.9,0.03,1.98,17.7,dry,low,59.0,5,41.7,0,0
18.8,68.3,4.06,2.2,9.2,wet,low,24.0,14,40.4,1,0
41.3,36.1,0.18,7.61,21.2,dry,high,55.6,12,65.3,0,2
43.5,64.0,0.39,0.2,26.9,ice,high,10.0,22,14.1,3,2
32.0,26.0,11.08,0.2,26.3,wet,low,31.2,17,36.1,1,0
3.7,37.6,7.23,0.41,27.9,wet,low,28.0,12,42.6,1,0
7.1,69.5,0.0,8.28,2.7,dry,high,47.4,15,64.5,0,2
-1.4,58.0,11.43,3.74,0.0,wet,low,41.9,23,49.1,1,0
42.6,72.1,0.58,8.49,8.6,snow,medium,50.3,6,46.9,2,1
2.0,55.3,0.24,7.29,11.9,dry,low,57.1,3,85.2,0,0
0.4,21.1,0.47,9.47,16.7,dry,medium,55.6,18,82.6,0,1
20.8,47.6,6.61,0.2,18.9,wet,low,65.9,19,39.1,1,0
9.2,83.0,9.67,1.41,37.1,wet,medium,41.7,17,36.0,1,1
44.4,21.3,0.0,10.0,21.3,dry,low,29.7,1,97.6,0,0
-2.4,95.6,0.05,7.92,8.4,dry,low,64.5,13,84.0,0,0
20.2,88.8,2.24,4.7,0.0,ice,low,59.1,10,27.0,3,0
10.1,22.5,1.96,10.0,10.4,ice,low,35.1,11,41.6,3,0
30.8,57.3,0.0,5.02,21.6,dry,low,65.0,4,65.6,0,0
19.7,29.9,0.86,9.1,20.8,dry,low,18.8,21,86.2,0,0
12.1,33.0,8.03,2.07,13.3,wet,high,74.3,22,31.2,1,2
-3.0,28.7,1.2,7.22,15.6,ice,low,54.3,6,34.4,3,0
-0.5,22.0,0.0,8.48,25.2,dry,low,70.5,4,84.0,0,0
33.7,81.2,0.19,8.4,23.2,dry,low,70.7,2,86.8,0,0
44.7,81.6,0.47,5.86,22.7,ice,low,49.4,18,28.9,3,0
-0.1,42.1,6.51,4.49,24.1,wet,high,64.8,11,40.3,1,2
39.7,54.1,1.64,8.13,6.9,snow,low,56.4,6,52.1,2,0
23.3,53.1,0.32,8.29,38.4,dry,low,61.5,0,80.3,0,0
3.5,85.5,0.38,7.72,11.7,dry,medium,109.1,18,77.1,0,1
24.9,85.3,1.48,8.38,14.4,wet,low,38.1,1,67.6,1,0
11.2,67.0,3.59,0.77,9.8,snow,low,36.1,15,32.7,2,0
-0.6,29.1,0.0,5.78,8.8,dry,high,33.4,7,56.9,0,2
7.7,76.4,0.15,9.81,11.3,dry,high,97.4,8,75.7,0,2
32.4,90.1,0.0,6.59,35.1,dry,high,69.5,20,56.6,0,2
14.3,35.8,0.0,8.04,12.8,dry,low,38.7,12,82.3,0,0
24.4,97.3,8.07,1.63,19.4,wet,low,46.3,8,40.7,1,0
-0.4,65.0,0.63,8.03,14.0,ice,medium,42.0,1,29.0,3,1
32.7,87.4,13.1,3.7,16.5,wet,medium,98.7,17,44.1,1,1
12.0,76.3,0.0,4.87,14.6,dry,low,53.2,5,62.4,0,0
30.4,68.8,0.28,9.48,8.8,dry,high,40.1,1,73.8,0,2
32.8,57.7,7.55,6.1,3.2,wet,high,61.6,17,50.4,1,2
44.8,26.3,6.08,2.42,19.8,wet,high,67.2,3,30.3,1,2
-3.4,25.4,0.19,10.0,16.3,dry,high,10.0,6,71.2,0,2
19.9,66.4,0.0,10.0,17.8,dry,medium,62.3,17,87.6,0,1
-1.5,33.6,0.34,10.0,10.7,dry,medium,78.3,10,89.4,0,1
-0.6,21.9,0.28,5.33,0.0,snow,high,62.4,11,33.0,2,2
44.5,32.0,0.25,8.84,28.7,dry,medium,56.1,13,80.3,0,1
15.9,49.3,8.06,4.26,27.6,wet,low,55.2,16,42.2,1,0
25.1,30.7,0.3,5.29,0.0,dry,high,60.2,7,56.0,0,2
44.4,23.6,0.31,10.0,29.8,dry,medium,13.9,8,83.1,0,1
7.9,35.2,2.3,5.25,21.5,wet,high,67.4,18,44.5,1,2
7.4,64.5,1.49,10.0,30.7,snow,high,35.0,12,43.8,2,2
0.4,38.9,0.0,5.35,22.9,dry,medium,33.0,16,61.3,0,1
40.0,78.1,1.5,5.9,15.4,wet,low,49.5,6,61.7,1,0
29.9,96.6,9.02,5.01,26.2,wet,low,54.1,18,47.7,1,0
22.0,58.5,0.0,6.67,13.2,dry,low,66.8,20,75.1,0,0
34.5,70.0,8.29,0.4,0.0,wet,medium,60.8,13,35.5,1,1
-0.5,67.4,1.11,3.68,26.1,snow,medium,40.1,9,29.4,2,1
31.2,61.6,0.46,6.69,16.0,dry,high,77.7,14,67.7,0,2
6.7,28.5,1.69,4.95,16.0,ice,medium,35.8,20,23.2,3,1
41.2,90.7,0.17,5.09,22.4,dry,low,71.4,18,73.4,0,0
42.5,86.3,0.0,6.79,20.4,dry,medium,46.8,15,70.4,0,1
1.0,27.7,0.0,4.06,13.5,dry,medium,31.2,22,52.8,0,1
23.2,49.4,0.0,6.62,10.7,dry,low,66.7,23,73.7,0,0
27.0,75.2,0.74,10.0,6.2,wet,medium,59.3,21,72.3,1,1
20.4,55.0,0.41,7.99,23.2,dry,medium,70.3,10,73.5,0,1
27.2,96.0,0.0,10.0,20.5,dry,medium,60.0,4,88.2,0,1
28.9,79.7,0.11,10.0,11.9,dry,medium,89.1,11,87.1,0,1
22.9,80.1,4.13,4.67,0.0,ice,low,50.7,0,33.6,3,0
-3.7,86.9,0.57,10.0,14.3,dry,high,76.6,14,73.6,0,2
33.4,91.5,0.0,10.0,6.3,dry,medium,22.6,10,89.1,0,1
15.6,73.4,2.28,2.86,10.1,ice,high,95.4,2,12.4,3,2
39.3,85.5,7.65,4.17,11.2,wet,low,13.0,3,52.8,1,0
40.1,90.2,4.8,8.05,26.3,snow,high,59.0,21,41.8,2,2
7.1,26.6,0.44,8.55,14.3,dry,low,62.6,13,83.9,0,0
36.1,35.9,0.29,7.74,18.4,dry,low,74.9,6,81.8,0,0
28.2,87.7,14.9,4.41,22.1,wet,medium,22.8,20,44.3,1,1
23.3,28.5,1.13,10.0,14.1,ice,low,78.6,21,37.7,3,0
-1.5,66.0,2.34,5.47,9.0,snow,high,47.2,9,28.8,2,2
18.6,85.4,11.31,0.95,8.2,wet,medium,59.2,13,34.4,1,1
6.9,73.7,0.0,8.27,5.1,dry,medium,53.9,20,79.5,0,1
3.3,85.6,0.16,7.36,21.6,ice,high,66.8,20,27.3,3,2
18.4,91.4,1.15,6.46,17.9,snow,medium,102.9,16,38.9,2,1
38.0,38.1,0.0,6.24,17.7,dry,low,51.4,10,74.7,0,0
3.4,79.3,0.0,8.36,11.0,dry,medium,49.6,13,79.1,0,1
11.7,41.8,0.15,7.28,18.7,dry,medium,65.2,6,67.6,0,1
33.2,48.8,3.91,0.2,16.4,snow,low,19.9,16,27.8,2,0
36.9,26.5,0.0,6.9,29.0,dry,medium,64.9,12,70.1,0,1
0.0,45.3,1.55,10.0,17.1,wet,high,51.5,16,63.3,1,2
35.0,91.0,0.24,7.78,3.6,ice,low,56.4,15,36.7,3,0
0.2,71.0,0.39,2.8,16.8,dry,low,43.3,15,48.0,0,0
36.8,26.0,3.7,0.2,32.3,ice,low,54.5,1,18.4,3,0
44.9,59.4,1.39,9.94,6.7,wet,medium,19.5,13,75.2,1,1
3.3,23.6,13.16,0.2,18.9,wet,low,22.6,10,38.7,1,0
41.2,43.0,10.35,5.62,8.1,wet,medium,22.7,0,52.5,1,1
35.6,78.9,0.53,10.0,22.7,dry,low,66.5,4,91.3,0,0
13.6,23.7,11.91,4.4,4.9,wet,low,85.1,19,50.2,1,0
-1.8,81.4,5.96,2.83,9.2,wet,low,84.6,7,41.2,1,0
16.6,79.8,2.29,4.68,12.4,ice,medium,66.5,19,23.7,3,1
15.5,64.6,0.0,8.33,32.3,dry,low,60.6,21,78.7,0,0
15.1,62.3,0.0,6.39,0.4,dry,low,70.6,10,78.7,0,0
-3.8,95.3,0.0,8.03,13.8,dry,low,93.5,21,78.7,0,0
43.7,36.3,3.12,4.48,13.9,ice,low,66.1,23,27.8,3,0
27.4,97.4,0.29,10.0,8.4,ice,low,43.6,14,39.0,3,0
2.7,39.5,12.89,3.73,6.8,wet,medium,86.5,16,44.0,1,1
-2.0,67.2,0.19,5.65,45.6,dry,medium,29.9,8,64.4,0,1
28.3,57.7,5.16,0.2,0.0,wet,high,57.3,16,25.3,1,2
3.4,42.7,0.09,10.0,22.5,dry,high,55.0,0,75.1,0,2
40.7,61.4,5.38,4.26,14.1,wet,low,41.7,22,48.6,1,0
7.9,63.4,0.24,6.32,0.9,dry,medium,44.3,23,68.8,0,1
20.3,85.6,0.16,6.55,33.9,dry,high,55.0,4,52.5,0,2
25.3,25.3,0.0,10.0,7.8,dry,low,29.5,22,92.5,0,0
22.4,65.0,2.36,2.07,7.5,snow,low,72.4,3,32.5,2,0
7.2,79.7,0.42,6.8,7.5,snow,medium,80.3,12,44.0,2,1
33.1,75.9,0.13,10.0,26.7,dry,high,31.6,2,75.9,0,2
32.1,57.9,0.0,9.59,16.1,dry,low,94.0,9,87.3,0,0
-1.8,40.3,0.0,10.0,8.2,dry,medium,95.6,6,86.9,0,1
14.0,93.9,0.04,8.95,7.2,dry,medium,42.8,7,89.4,0,1
27.4,82.6,3.07,1.66,17.1,snow,low,86.7,15,29.1,2,0
7.2,90.6,5.92,1.54,7.3,wet,medium,101.6,15,38.6,1,1
35.8,77.9,0.0,7.2,10.4,dry,high,15.5,4,67.5,0,2
0.7,72.7,0.0,8.36,24.9,dry,low,42.4,22,86.9,0,0
40.8,88.0,4.82,7.5,19.0,snow,high,39.8,4,39.1,2,2
42.7,35.6,0.0,8.82,14.0,dry,low,30.4,1,88.8,0,0
10.1,40.4,0.0,7.78,27.6,dry,high,52.6,16,62.2,0,2
8.6,33.0,5.32,5.67,29.2,wet,low,36.3,1,54.0,1,0
42.2,54.1,0.0,5.98,11.8,dry,medium,78.6,4,67.5,0,1
33.8,50.1,1.52,9.31,35.8,snow,low,72.2,1,54.2,2,0
37.9,34.7,0.51,2.82,2.4,wet,medium,76.0,1,37.3,1,1
-2.2,93.3,0.22,4.51,5.9,dry,low,74.4,22,67.4,0,0
4.4,26.1,9.26,6.99,8.4,wet,low,95.3,3,67.1,1,0
38.4,49.2,0.56,8.13,22.6,wet,low,29.1,18,66.4,1,0
31.4,89.1,0.09,10.0,8.3,dry,low,51.9,6,91.9,0,0
14.4,64.4,1.86,8.73,20.6,wet,medium,63.3,12,63.8,1,1
15.8,20.3,1.41,6.42,3.8,wet,high,80.3,18,54.1,1,2
2.3,79.8,5.64,2.32,17.6,wet,medium,62.4,1,38.0,1,1
2.0,84.6,10.32,4.26,13.7,wet,medium,42.8,7,44.3,1,1
-0.0,33.1,0.0,9.64,20.5,dry,medium,42.1,5,84.6,0,1
10.0,29.2,8.57,5.07,24.8,wet,high,55.8,8,45.9,1,2
8.5,59.1,0.19,5.04,0.0,ice,medium,66.3,19,29.2,3,1
-1.4,58.2,0.0,3.73,6.8,dry,medium,56.7,7,49.7,0,1
24.7,71.3,0.31,6.75,9.3,dry,high,48.9,4,65.7,0,2
-3.3,42.1,0.31,6.35,15.4,dry,medium,53.8,11,70.6,0,1
12.6,77.6,0.36,10.0,25.0,dry,medium,56.7,0,79.5,0,1
42.1,45.5,0.0,9.85,0.5,dry,low,46.0,23,99.4,0,0
41.8,63.7,0.33,10.0,24.1,dry,high,77.3,4,71.4,0,2
16.7,76.6,0.0,3.95,23.7,dry,low,58.7,17,61.2,0,0
42.2,42.0,0.1,6.06,31.4,dry,low,48.3,4,71.0,0,0
12.0,85.7,0.12,0.2,14.6,dry,medium,48.7,8,40.6,0,1
14.6,22.6,2.18,0.2,24.6,wet,medium,39.7,4,33.8,1,1
28.3,45.4,0.0,10.0,1.4,dry,medium,76.5,11,86.8,0,1
